Current Standard Occupation Code|Current Job Title|Match Standard Occupation Code|Match Job Title|Match Rank|Base Employment|Total Job Openings|Median Hourly Wage|Median Annual Wage|Entry Level Education|Work Experience|Job Training|Location
53-7073.00|Wellhead Pumpers|49-9043|Maintenance Workers, Machinery|2|460|450|30.06|62514|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|17-3025|Environmental Engineering Technicians|9|430|500|29.4|61155|Associate's degree|None|None|Contra Costa
47-2111.00|Electricians|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|8|410|380|40.47|84173|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|6|410|380|40.47|84173|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|5|410|380|40.47|84173|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|49-2094|Electrical and Electronics Repairers, Commercial and Industrial Equipment|7|410|380|40.47|84173|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-9141|Semiconductor Processors|6|410|450|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5012.00|Rotary Drill Operators, Oil and Gas|47-2221|Structural Iron and Steel Workers|7|390|500|41.43|86183|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2111.00|Electricians|47-4021|Elevator Installers and Repairers|4|390|510|44.97|93536|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2073.00|Operating Engineers and Other Construction Equipment Operators|47-4051|Highway Maintenance Workers|5|390|410|30.49|63420|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|47-4051|Highway Maintenance Workers|1|390|410|30.49|63420|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.06|Welders, Cutters, and Welder Fitters|51-4193|Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic|10|370|330|20.4|42436|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-5113|Print Binding and Finishing Workers|2|370|380|16.75|34841|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-5113|Print Binding and Finishing Workers|1|370|380|16.75|34841|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-5113|Print Binding and Finishing Workers|10|370|380|16.75|34841|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7051.00|Industrial Truck and Tractor Operators|51-5113|Print Binding and Finishing Workers|4|370|380|16.75|34841|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|51-5113|Print Binding and Finishing Workers|9|370|380|16.75|34841|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4041.00|Machinists|51-4033|Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic|10|360|360|23.49|48857|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|47-2171|Reinforcing Iron and Rebar Workers|5|350|440|34.46|71679|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-5071.00|Roustabouts, Oil and Gas|49-3093|Tire Repairers and Changers|3|350|360|17.03|35410|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
47-5011.00|Derrick Operators, Oil and Gas|47-4071|Septic Tank Servicers and Sewer Pipe Cleaners|6|340|480|22.7|47222|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|47-4031|Fence Erectors|3|320|390|21.55|44819|No formal educational credential|None|Moderate-term on-the-job training|Contra Costa
47-5012.00|Rotary Drill Operators, Oil and Gas|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|10|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|2|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8091.00|Chemical Plant and System Operators|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|2|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|2|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|1|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|1|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7073.00|Wellhead Pumpers|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|7|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7121.00|Tank Car, Truck, and Ship Loaders|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|5|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|51-9021|Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|8|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8091.00|Chemical Plant and System Operators|51-9021|Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|6|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9021|Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|3|320|420|29.1|60530|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5011.00|Derrick Operators, Oil and Gas|47-3011|Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters|2|290|420|20.42|42462|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5071.00|Roustabouts, Oil and Gas|47-3011|Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters|1|290|420|20.42|42462|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-4041.00|Machinists|51-9195|Glass Blowers, Molders, Benders, and Finishers|8|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-4121.06|Welders, Cutters, and Welder Fitters|51-9195|Molding and Casting Workers|8|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-9195|Molding and Casting Workers|5|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9195|Molding and Casting Workers|5|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9195|Molding and Casting Workers|4|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-9198.00|Helpers--Production Workers|51-9195|Molding and Casting Workers|10|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
53-7051.00|Industrial Truck and Tractor Operators|51-9195|Molding and Casting Workers|3|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|51-9195|Molding and Casting Workers|4|280|310|21.73|45201|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|53-5021|Ship and Boat Captains|5|280|220|50.28|104583|Postsecondary non-degree award|Less than 5 years|None|Contra Costa
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|53-5022|Motorboat Operators|7|280|220|50.28|104583|Postsecondary non-degree award|Less than 5 years|None|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|53-7063|Machine Feeders and Offbearers|6|280|350|24.71|51402|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-2073.00|Operating Engineers and Other Construction Equipment Operators|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|7|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.02|Plumbers|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|10|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|3|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|7|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|7|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|4|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7073.00|Wellhead Pumpers|49-9012|Control and Valve Installers and Repairers, Except Mechanical Door|6|270|280|27.21|56597|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2111.00|Electricians|51-8021|Stationary Engineers and Boiler Operators|10|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|51-8021|Stationary Engineers and Boiler Operators|9|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|51-8021|Stationary Engineers and Boiler Operators|4|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|51-8021|Stationary Engineers and Boiler Operators|8|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|51-8021|Stationary Engineers and Boiler Operators|3|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|51-8021|Stationary Engineers and Boiler Operators|2|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|51-8021|Stationary Engineers and Boiler Operators|1|270|350|50.25|104515|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-4121.06|Welders, Cutters, and Welder Fitters|51-4122|Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders|2|260|280|22.24|46247|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-4191|Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic|2|260|280|22.24|46247|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-6093|Upholsterers|7|250|200|21.09|43872|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5012.00|Rotary Drill Operators, Oil and Gas|47-5011|Derrick Operators, Oil and Gas|9|240|350|40.58|84399|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5071.00|Roustabouts, Oil and Gas|47-5011|Derrick Operators, Oil and Gas|2|240|350|40.58|84399|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5011.00|Derrick Operators, Oil and Gas|47-5012|Rotary Drill Operators, Oil and Gas|5|240|350|40.58|84399|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|47-5012|Rotary Drill Operators, Oil and Gas|5|240|350|40.58|84399|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
